역이름,경도,위도,500미터위도,500미터경도
강일,215544.75993569865,450899.3467981382,450899.35179813823,215544.76493569865
수서,208986.54351958167,442996.2213377614,442996.2263377614,208986.54851958167
삼성,205591.3638438172,445490.4580912708,445490.4630912708,205591.3688438172
서울,197610.7528453332,450685.3644214359,450685.3694214359,197610.7578453332
연신내,193051.9553584777,457690.20937929366,457690.21437929367,193051.9603584777
김포공항,182494.6611895133,451443.763408912,451443.768408912,182494.66618951331
신설동,202053.0967919458,452949.9905309432,452949.9955309432,202053.1017919458
보문,201711.8224631012,453970.00901349,453970.01401349,201711.82746310122
성신여대입구(돈암),201458.6318384938,454766.970608693,454766.975608693,201458.6368384938
정릉,201182.91614648115,455950.7341299845,455950.7391299845,201182.92114648115
북한산보국문,200728.50650404423,456942.8130115392,456942.81801153923,200728.51150404423
솔샘,201202.95044567413,457849.2063317467,457849.2113317467,201202.95544567413
삼양사거리,201807.40070597013,457971.2933885535,457971.2983885535,201807.40570597013
삼양,201598.3174129811,458590.2382019277,458590.2432019277,201598.3224129811
화계,201545.64393668988,459391.4614216198,459391.4664216198,201545.6489366899
가오리,201481.76809454465,460213.2170376389,460213.2220376389,201481.77309454465
4.19민주묘지,201207.59720924,461097.2061320873,461097.2111320873,201207.60220924
솔밭공원,201171.2244006988,461821.7430985466,461821.7480985466,201171.2294006988
북한산우이,201121.088238868,462585.2366775184,462585.2416775184,201121.093238868
관악산(서울대),195140.24982294292,441076.25011422014,441076.25511422014,195140.25482294292
서울대벤처타운,194156.00103206336,441398.7544540054,441398.7594540054,194156.00603206336
서원,194077.00410081408,442090.50120735774,442090.50620735774,194077.0091008141
신림,193775.00343001445,442833.50042720814,442833.50542720815,193775.00843001445
당곡,193589.5018472902,443429.99593915406,443430.00093915407,193589.5068472902
보라매병원,193234.49958498383,443725.5022197746,443725.5072197746,193234.50458498384
보라매공원,192755.99772015543,444015.50334650016,444015.50834650017,192756.00272015543
보라매,192964.49885672412,444537.49663555296,444537.50163555297,192964.50385672413
서울지방병무청,193165.9976904534,445178.0023314756,445178.0073314756,193166.0026904534
대방,193433.49787161624,445983.4993207645,445983.5043207645,193433.50287161625
샛강,193758.49847816429,446404.00238041993,446404.00738041993,193758.5034781643
청계산입구,204925.57712118173,438646.70984523074,438646.71484523074,204925.58212118174
양재시민의숲(매헌),203398.66329728265,441177.766755448,441177.771755448,203398.66829728265
양재(서초구청),203064.8684661673,442707.69885287655,442707.70385287656,203064.8734661673
강남,202485.21352931016,444153.4426007037,444153.4476007037,202485.21852931016
신논현,202215.8057642979,445014.7371005,445014.7421005,202215.8107642979
논현,201893.35072953443,445735.5192964925,445735.5242964925,201893.35572953444
신사,201778.201895452,446317.1783361028,446317.1833361028,201778.206895452
마곡나루,184749.16896260108,451792.5938640907,451792.5988640907,184749.17396260108
디지털미디어시티,191043.66400894747,453050.3522815103,453050.3572815103,191043.66900894747
홍대입구,193524.7078978216,450881.5522485538,450881.5572485538,193524.7128978216
공덕,195760.1080489925,449225.5008614703,449225.5058614703,195760.1130489925
서울역,197328.70973435428,450414.3064673073,450414.3114673073,197328.7147343543
중앙보훈병원,213147.1942637821,447754.3495007739,447754.3545007739,213147.1992637821
둔촌오륜,212198.53814563912,446697.6312404223,446697.6362404223,212198.54314563912
올림픽공원(한국체대),211518.2768398472,446317.7493882269,446317.7543882269,211518.28183984722
한성백제,210299.57731231765,446331.1343256491,446331.1393256491,210299.58231231765
송파나루,209921.3786280137,445661.1979880095,445661.2029880095,209921.38362801372
석촌,209464.40356463543,445087.5267475152,445087.5317475152,209464.40856463544
석촌고분,208579.8944891963,444792.4514327451,444792.4564327451,208579.8994891963
삼전,207783.15868367892,445033.6202941226,445033.6252941226,207783.16368367893
종합운동장,206743.62342148463,445774.9958700645,445775.0008700645,206743.62842148464
봉은사,205326.18082187223,446083.95525192126,446083.96025192126,205326.18582187223
삼성중앙,204710.66706992616,445949.5112005711,445949.5162005711,204710.67206992616
선정릉,203890.0968966595,445647.86749478045,445647.87249478046,203890.1018966595
언주,202994.50193533697,445313.4253883008,445313.4303883008,202994.50693533698
사평,201349.2081708059,444971.0445095559,444971.0495095559,201349.21317080592
고속터미널,200389.3061796097,445167.8354095092,445167.8404095092,200389.3111796097
신반포,199639.6827259193,444883.1521267503,444883.15712675033,199639.6877259193
구반포,198879.8468475224,444655.5852077162,444655.5902077162,198879.8518475224
동작(현충원),198068.2434565581,444823.7684716384,444823.7734716384,198068.2484565581
흑석(중앙대입구),196791.2390875696,445478.0992924577,445478.1042924577,196791.2440875696
노들,195864.3454289061,445935.4430268572,445935.4480268572,195864.3504289061
노량진,194784.2823667292,446007.858915749,446007.863915749,194784.2873667292
여의도,193284.26836688875,446921.9175855547,446921.9225855547,193284.27336688875
국회의사당,192740.6940330368,447626.5907804355,447626.5957804355,192740.6990330368
당산,191409.67171501627,448216.2056925437,448216.2106925437,191409.67671501628
선유도,190589.6752198697,448729.1917243344,448729.1967243344,190589.6802198697
신목동,189667.4029944387,449424.7393416319,449424.7443416319,189667.4079944387
염창,188946.3163484893,449720.7848326587,449720.7898326587,188946.3213484893
등촌,188131.5112427786,450132.1214381848,450132.1264381848,188131.5162427786
증미,187801.24317014543,450883.9911680555,450883.9961680555,187801.24817014544
가양,187140.7474646267,451327.72075404215,451327.72575404216,187140.7524646267
양천향교,185982.59979900863,452105.4058819612,452105.41088196123,185982.60479900864
신방화,183797.47115464613,452015.153357271,452015.158357271,183797.47615464614
공항시장,183273.34759339588,451593.7690968984,451593.7740968984,183273.3525933959
개화,182170.3071938952,453247.80369117134,453247.80869117135,182170.3121938952
복정,211210.66050184472,441298.82132749015,441298.82632749015,211210.66550184472
장지,211161.66597036505,442147.91580613074,442147.92080613074,211161.67097036506
문정,210834.1620560177,442941.2620698871,442941.2670698871,210834.1670560177
가락시장,210470.390567752,443721.3687935761,443721.3737935761,210470.395567752
