역이름,경도,위도
강일,215544.75993569865,450899.3467981382
수서,208986.54351958167,442996.2213377614
삼성,205591.3638438172,445490.4580912708
서울,197610.7528453332,450685.3644214359
연신내,193051.95535847772,457690.20937929366
김포공항,182494.6611895133,451443.763408912
신설동,202053.0967919458,452949.9905309432
보문,201711.8224631012,453970.00901349
성신여대입구(돈암),201458.6318384938,454766.970608693
정릉,201182.91614648115,455950.7341299845
북한산보국문,200728.50650404423,456942.8130115392
솔샘,201202.95044567413,457849.2063317467
삼양사거리,201807.40070597015,457971.2933885535
삼양,201598.3174129811,458590.2382019277
화계,201545.64393668988,459391.4614216198
가오리,201481.76809454465,460213.2170376389
4.19민주묘지,201207.59720924,461097.2061320873
솔밭공원,201171.2244006988,461821.7430985466
북한산우이,201121.088238868,462585.2366775184
관악산(서울대),195140.24982294295,441076.25011422014
서울대벤처타운,194156.00103206336,441398.7544540054
서원,194077.00410081408,442090.50120735774
신림,193775.00343001445,442833.50042720814
당곡,193589.5018472902,443429.99593915406
보라매병원,193234.49958498383,443725.5022197746
보라매공원,192755.99772015543,444015.50334650016
보라매,192964.49885672415,444537.49663555296
서울지방병무청,193165.9976904534,445178.0023314756
대방,193433.49787161624,445983.4993207645
샛강,193758.49847816429,446404.00238041993
청계산입구,204925.57712118173,438646.70984523074
양재시민의숲(매헌),203398.66329728265,441177.766755448
양재(서초구청),203064.8684661673,442707.69885287655
강남,202485.21352931016,444153.4426007037
신논현,202215.8057642979,445014.7371005
논현,201893.35072953443,445735.5192964925
신사,201778.20189545196,446317.1783361028
마곡나루,184749.16896260108,451792.5938640907
디지털미디어시티,191043.66400894747,453050.3522815103
홍대입구,193524.7078978216,450881.5522485538
공덕,195760.1080489925,449225.5008614703
서울역,197328.70973435428,450414.3064673073
중앙보훈병원,213147.1942637821,447754.3495007739
둔촌오륜,212198.53814563912,446697.6312404223
올림픽공원(한국체대),211518.2768398472,446317.7493882269
한성백제,210299.57731231765,446331.1343256491
송파나루,209921.3786280137,445661.1979880095
석촌,209464.40356463543,445087.5267475152
석촌고분,208579.8944891963,444792.4514327451
삼전,207783.15868367895,445033.6202941226
종합운동장,206743.62342148463,445774.9958700645
봉은사,205326.18082187223,446083.95525192126
삼성중앙,204710.66706992616,445949.5112005711
선정릉,203890.0968966595,445647.86749478045
언주,202994.50193533697,445313.4253883008
사평,201349.2081708059,444971.0445095559
고속터미널,200389.3061796097,445167.8354095092
신반포,199639.6827259193,444883.1521267503
구반포,198879.8468475224,444655.5852077162
동작(현충원),198068.2434565581,444823.7684716384
흑석(중앙대입구),196791.2390875696,445478.0992924577
노들,195864.3454289061,445935.4430268572
노량진,194784.2823667292,446007.858915749
여의도,193284.26836688875,446921.9175855547
국회의사당,192740.6940330368,447626.5907804355
당산,191409.67171501627,448216.2056925437
선유도,190589.6752198697,448729.1917243344
신목동,189667.4029944387,449424.7393416319
염창,188946.3163484893,449720.7848326587
등촌,188131.5112427786,450132.1214381848
증미,187801.24317014543,450883.9911680555
가양,187140.7474646267,451327.72075404215
양천향교,185982.59979900863,452105.4058819612
신방화,183797.47115464613,452015.153357271
공항시장,183273.34759339588,451593.7690968984
개화,182170.3071938952,453247.80369117134
복정,211210.66050184472,441298.82132749015
장지,211161.66597036505,442147.91580613074
문정,210834.1620560177,442941.2620698871
가락시장,210470.390567752,443721.3687935761
송파,209919.87254756904,444477.0722085333
잠실(송파구청),209224.32734317577,446139.8617260913
몽촌토성(평화의문),209933.0890468853,446442.231086146
강동구청,210651.6623294512,447878.41366000246
천호(풍납토성),210893.2499556549,448741.3249710695
암사,211272.1717756792,450084.4538447219
암사역사공원,212106.84951406595,450833.6899117277
온수(성공회대입구),184349.07344093156,443641.1506666618
천왕,185735.5792864255,443033.2238594015
가산디지털단지,189621.08266391355,442328.3671679669
남구로,190028.0873797036,442962.4931977458
대림(구로구청),190897.96192365533,443733.6335756127
신풍,192035.52788518596,444516.8133933476
신대방삼거리,193657.7477220746,444473.3549341805
장승배기,194619.6629394008,445049.4776718796
상도,195394.0925351538,444819.9354768306
숭실대입구(살피재),195916.47349661004,444064.3957838429
남성,197457.33475110968,442794.8696049457
이수,198373.09287600283,442861.2323892565
내방,199426.28943918392,443129.9032059526
반포,201036.8520830604,445411.84070889466
학동,202798.6646481952,446083.83074425056
강남구청,203647.15587584465,446411.5722104422
청담,204716.2790681892,446654.7282559652
뚝섬유원지,205895.84937057667,448006.7547543078
건대입구,206275.762699822,449033.2261128479
어린이대공원(세종대),206597.43788401876,449835.6962930359
군자(능동),207010.17186604915,450821.9418707796
중곡,207449.4743242856,451824.104806101
용마산,207661.3359708425,452681.5726111488
사가정,207815.2593157541,453486.0506790036
면목,207728.34305281268,454338.9179217864
상봉(시외버스터미널),207569.8047477732,455115.4720418139
중화,206999.35883209656,455888.3424333543
먹골,206862.7148752125,456786.3523976296
태릉입구,206656.48193434963,457636.029219112
공릉(서울과학기술대),206435.03717595048,458462.5035525558
하계,206001.0971475567,459639.7773609077
중계,205675.0400910737,460553.1041785157
노원,205335.32034010117,461690.857940406
마들,205088.6986576725,462812.146668057
수락산,204879.62906528063,464244.9057388706
도봉산,204102.1777668623,465508.7766868739
신내,209026.16162400987,457070.0057413337
봉화산(서울의료원),208069.5168844765,457525.0744118394
화랑대(서울여대입구),207476.6561738917,457833.179847516
석계,205791.37014965768,457255.5740755848
돌곶이,204982.57146576207,456773.9101376686
상월곡(한국과학기술연구원),204281.7481039588,456311.8037711834
월곡(동덕여대),203666.25056563635,455819.93833134224
고려대(종암),203205.6121132213,454550.0347561625
안암(고대병원앞),202561.82632194305,454079.6627531719
창신,201346.25917899408,453345.6307984771
동묘앞,201382.78822154636,452526.3199020336
신당,201426.45671466485,451846.5236763357
청구,201235.7179848816,451230.9523498949
약수,200915.2475489813,450526.6912203397
버티고개,200623.44184817804,449832.9891860179
한강진,200152.45323862063,448902.66693067766
이태원,199496.38364324285,448331.87086833175
녹사평(용산구청),198824.0437155956,448352.6934940339
삼각지,197704.8566153673,448448.26562120765
효창공원앞,196587.1503362178,448859.1931511488
대흥(서강대앞),194880.6905679727,449807.68391930807
광흥창(서강),193990.25828313507,449773.3190779119
상수,193182.49662926685,449802.79952577926
합정,192344.37938836456,449969.2347402536
망원,192052.26095730413,450733.6625870805
